Station Name,Longitude,Latitude,Climate ID,Province,Year,Month,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,province
AMHERST (AUT),-64.267,45.85,8200091,NS,1997,12,-3.8,8.0,,6.3,7.0,-20.9,6.0,,,,48.8,8.0,,,6.0,,,,500.5,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,1,-5.3,3.0,,8.6,3.0,-21.1,2.0,,,,118.6,3.0,,,11.0,,,,653.3,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,2,-4.6,4.0,,5.9,4.0,-17.3,4.0,,,,28.0,3.0,,,7.0,,,,541.2,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,3,-1.5,5.0,,12.2,4.0,-14.1,5.0,,,,55.4,6.0,,,9.0,,,,506.3,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,4,4.5,0.0,,17.8,0.0,-3.5,0.0,,,,104.8,0.0,,,11.0,,,,403.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,5,11.8,1.0,,24.5,1.0,0.0,0.0,,,,52.4,2.0,,,10.0,,,,187.5,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,6,14.7,1.0,,25.7,1.0,2.3,0.0,,,,62.2,0.0,,,8.0,,,,104.5,8.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,7,18.5,0.0,,26.2,0.0,11.1,0.0,,,,25.0,18.0,,,3.0,,,,12.2,26.2,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,8,17.9,0.0,,29.6,0.0,8.7,0.0,,,,,,,,,,,,23.5,21.6,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,9,13.9,1.0,,23.6,0.0,4.4,1.0,,,,,,,,,,,,120.4,1.1,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,10,8.6,5.0,,21.1,4.0,-0.5,3.0,,,,97.0,26.0,,,2.0,,,,245.2,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,11,2.2,2.0,,11.8,1.0,-6.7,1.0,,,,59.4,4.0,,,6.0,,,,442.0,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1998,12,-2.5,0.0,,11.7,0.0,-19.6,0.0,,,,56.6,0.0,,,6.0,,,,634.0,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,1,-6.5,0.0,,13.0,0.0,-25.4,0.0,,,,111.2,0.0,,,13.0,,,,759.6,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,2,-3.4,1.0,,14.2,1.0,-19.1,0.0,,,,50.4,2.0,,,5.0,,,,579.1,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,3,1.7,13.0,,13.8,8.0,-9.7,8.0,,,,59.2,13.0,,,7.0,,,,293.1,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,4,4.3,11.0,,14.3,8.0,-4.0,6.0,,,,38.4,12.0,,,9.0,,,,260.1,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,5,12.2,0.0,,28.3,0.0,0.0,0.0,,,,22.0,0.0,,,5.0,,,,180.2,1.8,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,6,15.8,2.0,,28.0,2.0,3.2,1.0,,,,21.2,2.0,,,1.0,,,,68.1,7.8,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,7,18.6,1.0,,31.4,1.0,10.0,1.0,,,,44.0,1.0,,,9.0,,,,23.4,41.6,NS
