"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.09","43.83","YARMOUTH A","8206500","2012-02-01","2012","02","01","","7.4","","-2.4","","2.5","","15.5","","0.0","","5.4","","0.0","T","5.4","","2","","","","<31",""
"-66.09","43.83","YARMOUTH A","8206500","2012-02-02","2012","02","02","","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","T","0.0","T","0.0","T","0","","2","E","43","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-02-03","2012","02","03","","-2.9","","-7.0","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","0","","36","E","48","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-02-04","2012","02","04","","-0.7","","-5.9","","-3.3","","21.3","","0.0","","0.0","","1.2","","1.2","","0","","33","E","48","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-02-05","2012","02","05","","0.3","","-7.5","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","33","E","46","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-02-06","2012","02","06","","5.2","","0.0","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","0","","27","E","54","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-02-07","2012","02","07","","4.0","","-3.6","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-66.09","43.83","YARMOUTH A","8206500","2012-02-08","2012","02","08","","0.2","","-8.2","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","0","","34","E","33","E"
"-66.09","43.83","YARMOUTH A","8206500","2012-02-09","2012","02","09","","2.8","","-1.8","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-66.09","43.83","YARMOUTH A","8206500","2012-02-10","2012","02","10","","5.9","","-6.1","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","0","","19","E","39","E"
