"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.09","43.83","YARMOUTH A","8206500","2012-04-19","2012","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-20","2012","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-21","2012","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-22","2012","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-23","2012","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-24","2012","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-25","2012","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-26","2012","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-27","2012","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-28","2012","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-29","2012","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-66.09","43.83","YARMOUTH A","8206500","2012-04-30","2012","04","30","","","","","","","","","","","","","","","","","","","","","","",""
