ClimateID,Date/Time,EventType,MaxGust_kmh,P95_Threshold,ExtremeFlag
8400104,1998-01-22,Extreme Wind,98.0,91.0,1
8400104,1998-01-25,Extreme Wind,100.0,91.0,1
8400104,1998-02-13,Extreme Wind,93.0,91.0,1
8400104,1998-03-15,Extreme Wind,93.0,91.0,1
8400104,1998-04-13,Extreme Wind,95.0,91.0,1
8400104,1998-09-06,Extreme Wind,102.0,91.0,1
8400104,1998-10-02,Extreme Wind,91.0,91.0,1
8400104,1998-11-12,Extreme Wind,91.0,91.0,1
8400104,1998-11-15,Extreme Wind,91.0,91.0,1
8400104,1998-12-07,Extreme Wind,95.0,91.0,1
8400104,1998-12-22,Extreme Wind,100.0,91.0,1
8400104,1998-12-23,Extreme Wind,120.0,91.0,1
8400104,1998-12-30,Extreme Wind,98.0,91.0,1
8400104,1998-12-31,Extreme Wind,100.0,91.0,1
8400104,1999-01-10,Extreme Wind,107.0,91.0,1
8400104,1999-01-16,Extreme Wind,113.0,91.0,1
8400104,1999-01-25,Extreme Wind,98.0,91.0,1
8400104,1999-03-16,Extreme Wind,100.0,91.0,1
8400104,1999-04-05,Extreme Wind,91.0,91.0,1
8400104,1999-04-06,Extreme Wind,91.0,91.0,1
8400104,1999-09-23,Extreme Wind,106.0,91.0,1
8400104,1999-09-24,Extreme Wind,91.0,91.0,1
8400104,1999-10-14,Extreme Wind,104.0,91.0,1
8400104,1999-10-15,Extreme Wind,107.0,91.0,1
8400104,1999-11-28,Extreme Wind,111.0,91.0,1
8400104,1999-12-30,Extreme Wind,96.0,91.0,1
8400104,2000-01-05,Extreme Wind,93.0,91.0,1
8400104,2000-03-17,Extreme Wind,93.0,91.0,1
8400104,2000-04-30,Extreme Wind,98.0,91.0,1
8400104,2000-05-02,Extreme Wind,95.0,91.0,1
8400104,2000-05-03,Extreme Wind,95.0,91.0,1
8400104,2000-10-08,Extreme Wind,91.0,91.0,1
8400104,2000-12-09,Extreme Wind,100.0,91.0,1
8400104,2000-12-10,Extreme Wind,102.0,91.0,1
8400104,2000-12-18,Extreme Wind,102.0,91.0,1
8400104,2000-12-21,Extreme Wind,102.0,91.0,1
8400104,2000-12-23,Extreme Wind,95.0,91.0,1
8400104,2001-01-16,Extreme Wind,98.0,91.0,1
8400104,2001-01-27,Extreme Wind,91.0,91.0,1
8400104,2001-02-11,Extreme Wind,107.0,91.0,1
8400104,2001-02-15,Extreme Wind,104.0,91.0,1
8400104,2001-02-16,Extreme Wind,102.0,91.0,1
8400104,2001-02-17,Extreme Wind,126.0,91.0,1
8400104,2001-02-18,Extreme Wind,104.0,91.0,1
8400104,2001-02-22,Extreme Wind,98.0,91.0,1
8400104,2001-02-23,Extreme Wind,96.0,91.0,1
8400104,2001-03-23,Extreme Wind,98.0,91.0,1
8400104,2001-04-28,Extreme Wind,100.0,91.0,1
8400104,2001-09-19,Extreme Wind,91.0,91.0,1
8400104,2002-01-14,Extreme Wind,104.0,91.0,1
8400104,2002-02-11,Extreme Wind,113.0,91.0,1
8400104,2002-02-28,Extreme Wind,95.0,91.0,1
8400104,2002-03-03,Extreme Wind,100.0,91.0,1
8400104,2002-03-04,Extreme Wind,113.0,91.0,1
8400104,2002-03-14,Extreme Wind,102.0,91.0,1
8400104,2002-03-15,Extreme Wind,104.0,91.0,1
8400104,2002-03-23,Extreme Wind,98.0,91.0,1
8400104,2002-09-12,Extreme Wind,102.0,91.0,1
8400104,2002-10-27,Extreme Wind,98.0,91.0,1
8400104,2002-11-24,Extreme Wind,93.0,91.0,1
8400104,2002-12-02,Extreme Wind,109.0,91.0,1
8400104,2002-12-09,Extreme Wind,93.0,91.0,1
8400104,2002-12-26,Extreme Wind,98.0,91.0,1
8400104,2003-01-11,Extreme Wind,104.0,91.0,1
8400104,2003-01-20,Extreme Wind,119.0,91.0,1
8400104,2003-02-06,Extreme Wind,95.0,91.0,1
8400104,2003-02-11,Extreme Wind,126.0,91.0,1
8400104,2003-02-14,Extreme Wind,96.0,91.0,1
8400104,2003-03-03,Extreme Wind,113.0,91.0,1
8400104,2003-03-04,Extreme Wind,98.0,91.0,1
8400104,2003-03-09,Extreme Wind,93.0,91.0,1
8400104,2003-03-31,Extreme Wind,93.0,91.0,1
8400104,2003-04-01,Extreme Wind,100.0,91.0,1
8400104,2003-07-17,Extreme Wind,107.0,91.0,1
8400104,2003-07-23,Extreme Wind,91.0,91.0,1
8400104,2003-07-25,Extreme Wind,93.0,91.0,1
8400104,2003-07-28,Extreme Wind,100.0,91.0,1
8400104,2003-10-19,Extreme Wind,93.0,91.0,1
8400104,2003-10-30,Extreme Wind,96.0,91.0,1
8400104,2003-11-04,Extreme Wind,95.0,91.0,1
8400104,2003-11-08,Extreme Wind,98.0,91.0,1
8400104,2003-11-09,Extreme Wind,106.0,91.0,1
8400104,2003-11-14,Extreme Wind,91.0,91.0,1
8400104,2003-11-29,Extreme Wind,106.0,91.0,1
8400104,2003-11-30,Extreme Wind,96.0,91.0,1
8400104,2003-12-07,Extreme Wind,95.0,91.0,1
8400104,2003-12-08,Extreme Wind,95.0,91.0,1
8400104,2003-12-16,Extreme Wind,95.0,91.0,1
8400104,2007-11-02,Extreme Wind,93.0,91.0,1
8400104,2007-11-04,Extreme Wind,98.0,91.0,1
8400104,2007-11-17,Extreme Wind,96.0,91.0,1
8400104,2007-12-02,Extreme Wind,102.0,91.0,1
8400104,2007-12-17,Extreme Wind,122.0,91.0,1
8400104,2007-12-24,Extreme Wind,106.0,91.0,1
8400104,2007-12-31,Extreme Wind,95.0,91.0,1
8400104,2008-01-01,Extreme Wind,117.0,91.0,1
8400104,2008-01-02,Extreme Wind,109.0,91.0,1
8400104,2008-01-19,Extreme Wind,93.0,91.0,1
8400104,2008-01-23,Extreme Wind,93.0,91.0,1
8400104,2008-02-11,Extreme Wind,98.0,91.0,1
8400104,2008-02-12,Extreme Wind,96.0,91.0,1
8400104,2008-02-14,Extreme Wind,115.0,91.0,1
8400104,2008-02-18,Extreme Wind,93.0,91.0,1
8400104,2008-02-19,Extreme Wind,111.0,91.0,1
8400104,2008-02-27,Extreme Wind,91.0,91.0,1
8400104,2008-03-13,Extreme Wind,93.0,91.0,1
8400104,2008-03-17,Extreme Wind,106.0,91.0,1
8400104,2008-03-18,Extreme Wind,100.0,91.0,1
8400104,2008-10-21,Extreme Wind,91.0,91.0,1
8400104,2008-12-07,Extreme Wind,98.0,91.0,1
8400104,2008-12-08,Extreme Wind,95.0,91.0,1
8400104,2008-12-13,Extreme Wind,100.0,91.0,1
8400104,2008-12-22,Extreme Wind,106.0,91.0,1
8400104,2008-12-23,Extreme Wind,102.0,91.0,1
8400104,2008-12-25,Extreme Wind,113.0,91.0,1
8400104,2009-01-14,Extreme Wind,120.0,91.0,1
8400104,2009-01-15,Extreme Wind,95.0,91.0,1
8400104,2009-01-19,Extreme Wind,95.0,91.0,1
8400104,2009-01-23,Extreme Wind,95.0,91.0,1
8400104,2009-01-25,Extreme Wind,106.0,91.0,1
8400104,2009-01-26,Extreme Wind,95.0,91.0,1
8400104,2009-01-29,Extreme Wind,113.0,91.0,1
8400104,2009-02-04,Extreme Wind,96.0,91.0,1
8400104,2009-02-18,Extreme Wind,95.0,91.0,1
8400104,2009-02-20,Extreme Wind,98.0,91.0,1
8400104,2009-03-03,Extreme Wind,91.0,91.0,1
8400104,2009-03-12,Extreme Wind,91.0,91.0,1
8400104,2009-04-23,Extreme Wind,91.0,91.0,1
